time,Vn026

0.000000000000000e+000,0.000000e+000

7.999999968033578e-012,0.000000e+000

7.139374994885372e-010,0.000000e+000

8.115937494885372e-010,0.000000e+000

9.092499994885372e-010,0.000000e+000

1.006906249488537e-009,0.000000e+000

1.104562499488537e-009,0.000000e+000

1.202218749488538e-009,0.000000e+000

1.299874999488538e-009,0.000000e+000

1.397531249488538e-009,0.000000e+000

1.495187499488538e-009,0.000000e+000

1.592843749488538e-009,0.000000e+000

1.690499999488538e-009,0.000000e+000

1.788156249488538e-009,0.000000e+000

1.935406251022924e-009,0.000000e+000

2.096890623465614e-009,0.000000e+000

2.292203123465614e-009,0.000000e+000

2.487515623465613e-009,0.000000e+000

2.682828123465613e-009,0.000000e+000

7.565640623465610e-009,0.000000e+000

1.039767187346563e-008,0.000000e+000

1.069064062346563e-008,0.000000e+000

1.098360937346564e-008,0.000000e+000

1.127657812346564e-008,0.000000e+000

1.156954687346564e-008,0.000000e+000

1.186251562346564e-008,0.000000e+000

1.215548437346564e-008,0.000000e+000

1.244845312346565e-008,0.000000e+000

1.313204687346565e-008,0.000000e+000

1.401095312346566e-008,0.000000e+000

1.508517187346566e-008,0.000000e+000

1.635470312346565e-008,0.000000e+000

1.790234375000000e-008,5.415469e-017

1.922070312499999e-008,9.000403e-007

1.951367187499999e-008,6.212791e-006

1.961132812499999e-008,1.020845e-005

1.970898437499999e-008,1.579128e-005

1.980664062499999e-008,2.316640e-005

1.990429687499999e-008,3.246428e-005

2.000000000000000e-008,4.303981e-005

2.002871093750000e-008,4.680268e-005

2.006699218750001e-008,5.216064e-005

2.014355468750003e-008,6.387944e-005

2.024121093750003e-008,8.056445e-005

2.033886718750003e-008,9.935365e-005

2.043652343750003e-008,1.204091e-004

2.053417968750002e-008,1.437754e-004

2.063183593750002e-008,1.694954e-004

2.082714843750002e-008,2.281549e-004

2.112011718750002e-008,3.344999e-004

2.151074218750001e-008,5.074342e-004

2.190136718750001e-008,7.035281e-004

2.209667968750001e-008,8.068298e-004

2.219433593750001e-008,8.596060e-004

2.238964843750001e-008,9.673116e-004

2.268261718750000e-008,1.134000e-003

2.395214843749999e-008,1.919602e-003

2.551464843749998e-008,3.011416e-003

2.649121093749997e-008,3.755542e-003

2.854199218749995e-008,5.451336e-003

2.961621093749994e-008,6.402505e-003

3.078808593749996e-008,7.482829e-003

3.362011718750003e-008,1.024857e-002

3.694042968750011e-008,1.370702e-002

3.781933593750013e-008,1.462811e-002

3.811230468750014e-008,1.491060e-002

3.830761718750014e-008,1.508883e-002

3.860058593750015e-008,1.534005e-002

3.928417968750017e-008,1.584626e-002

3.996777343750018e-008,1.626480e-002

4.016308593750019e-008,1.637659e-002

4.035839843750019e-008,1.648583e-002

4.074902343750020e-008,1.669712e-002

4.250683593750024e-008,1.754540e-002

4.436230468750029e-008,1.828153e-002

4.631542968750034e-008,1.890528e-002

4.836621093750039e-008,1.941777e-002

5.051464843750044e-008,1.982163e-002

5.266308593750049e-008,2.010991e-002

5.490917968750055e-008,2.030653e-002

5.578808593750057e-008,2.035793e-002

5.813183593750062e-008,2.043334e-002

6.047558593750068e-008,2.043026e-002

6.291699218750074e-008,2.035706e-002

6.545605468750080e-008,2.021796e-002

6.799511718750086e-008,2.002579e-002

7.053417968750093e-008,1.979031e-002

7.317089843750099e-008,1.950894e-002

7.590527343750106e-008,1.918600e-002

7.863964843750112e-008,1.883869e-002

8.156933593750119e-008,1.844670e-002

8.469433593750127e-008,1.801265e-002

8.508496093750128e-008,1.795755e-002

8.840527343750136e-008,1.748381e-002

9.192089843750144e-008,1.697606e-002

9.582714843750154e-008,1.641064e-002

9.990234375000001e-008,1.582479e-002

1.000000000000000e-007,1.581084e-002

