time,Vn026

0.000000000000000e+000,0.000000e+000

1.599999993606716e-011,0.000000e+000

1.495187499488538e-009,0.000000e+000

1.690499999488538e-009,0.000000e+000

1.885812499488538e-009,0.000000e+000

2.045215624283953e-009,0.000000e+000

2.194546873465614e-009,0.000000e+000

2.389859373465614e-009,0.000000e+000

2.585171873465613e-009,0.000000e+000

2.780484373465613e-009,0.000000e+000

2.975796873465613e-009,0.000000e+000

3.171109373465613e-009,0.000000e+000

3.366421873465613e-009,0.000000e+000

9.811734373465626e-009,0.000000e+000

1.834179687500000e-008,0.000000e+000

1.990429687499999e-008,0.000000e+000

2.063183593750002e-008,0.000000e+000

2.092480468750002e-008,0.000000e+000

2.121777343750002e-008,0.000000e+000

2.151074218750001e-008,0.000000e+000

2.180371093750001e-008,0.000000e+000

2.209667968750001e-008,0.000000e+000

2.238964843750001e-008,0.000000e+000

2.365917968749999e-008,0.000000e+000

2.561230468749998e-008,0.000000e+000

2.649121093749997e-008,0.000000e+000

2.912792968749994e-008,0.000000e+000

3.254589843750000e-008,0.000000e+000

3.694042968750011e-008,0.000000e+000

3.840527343750014e-008,1.198118e-005

3.899121093750016e-008,9.053799e-005

3.928417968750017e-008,1.593722e-004

3.938183593750017e-008,1.867914e-004

3.947949218750017e-008,2.164717e-004

3.957714843750017e-008,2.484273e-004

3.967480468750018e-008,2.826722e-004

3.977246093750018e-008,3.192203e-004

4.006542968750018e-008,4.424828e-004

4.065136718750020e-008,7.188325e-004

4.143261718750022e-008,1.104643e-003

4.153027343750022e-008,1.154092e-003

4.162792968750022e-008,1.203793e-003

4.182324218750023e-008,1.303929e-003

4.436230468750029e-008,2.674853e-003

4.768261718750037e-008,4.614810e-003

5.188183593750047e-008,7.259510e-003

5.578808593750057e-008,9.869928e-003

5.695996093750060e-008,1.059177e-002

5.744824218750061e-008,1.080791e-002

5.754589843750061e-008,1.084459e-002

5.764355468750061e-008,1.087904e-002

5.822949218750063e-008,1.104100e-002

5.910839843750065e-008,1.123411e-002

5.940136718750065e-008,1.129438e-002

5.949902343750066e-008,1.131404e-002

5.959667968750066e-008,1.133351e-002

5.969433593750066e-008,1.135277e-002

6.223339843750072e-008,1.180240e-002

6.526074218750080e-008,1.224542e-002

6.838574218750087e-008,1.261410e-002

7.160839843750095e-008,1.291387e-002

7.492871093750103e-008,1.314995e-002

7.844433593750112e-008,1.333147e-002

8.205761718750121e-008,1.345580e-002

8.508496093750128e-008,1.351850e-002

8.889355468750137e-008,1.355156e-002

9.279980468750147e-008,1.354032e-002

9.690136718750157e-008,1.348722e-002

9.990234375000001e-008,1.342561e-002

1.000000000000000e-007,1.342332e-002

