time,Vout

0.000000000000000e+000,0.000000e+000

1.599999993606716e-011,0.000000e+000

1.006906249488537e-009,0.000000e+000

1.202218749488538e-009,0.000000e+000

1.397531249488538e-009,0.000000e+000

1.592843749488538e-009,0.000000e+000

1.788156249488538e-009,0.000000e+000

2.000000000000000e-009,0.000000e+000

2.194546873465614e-009,0.000000e+000

2.389859373465614e-009,0.000000e+000

2.585171873465613e-009,0.000000e+000

2.780484373465613e-009,0.000000e+000

3.073453123465613e-009,0.000000e+000

4.245328123465612e-009,0.000000e+000

6.100796873465609e-009,0.000000e+000

9.714078123465625e-009,0.000000e+000

1.498751562346566e-008,0.000000e+000

1.664767187346565e-008,0.000000e+000

1.834179687500000e-008,0.000000e+000

1.951367187499999e-008,0.000000e+000

2.033886718750003e-008,0.000000e+000

2.141308593750002e-008,0.000000e+000

2.317089843750000e-008,0.000000e+000

2.492871093749998e-008,0.000000e+000

2.649121093749997e-008,1.307354e-006

2.805371093749995e-008,5.500587e-005

2.990917968749994e-008,2.083354e-004

3.166699218749998e-008,4.339663e-004

3.352246093750003e-008,7.580789e-004

3.557324218750008e-008,1.213005e-003

3.781933593750013e-008,1.816607e-003

4.045605468750019e-008,2.646094e-003

4.367871093750027e-008,3.803154e-003

4.651074218750034e-008,4.833611e-003

4.953808593750041e-008,5.771545e-003

5.266308593750049e-008,6.544889e-003

5.578808593750057e-008,7.124017e-003

5.940136718750065e-008,7.576114e-003

6.360058593750076e-008,7.856289e-003

6.848339843750088e-008,7.933084e-003

7.463574218750102e-008,7.761626e-003

8.264355468750122e-008,7.282401e-003

8.508496093750128e-008,7.102753e-003

9.582714843750154e-008,6.243587e-003

9.990234375000001e-008,5.909393e-003

1.000000000000000e-007,5.901359e-003

