time,Vout

0.000000000000000e+000,0.000000e+000

1.599999993606716e-011,0.000000e+000

1.006906249488537e-009,0.000000e+000

1.104562499488537e-009,0.000000e+000

1.202218749488538e-009,0.000000e+000

1.299874999488538e-009,0.000000e+000

1.397531249488538e-009,0.000000e+000

1.495187499488538e-009,0.000000e+000

1.690499999488538e-009,0.000000e+000

1.902343750000000e-009,0.000000e+000

2.096890623465614e-009,0.000000e+000

2.292203123465614e-009,0.000000e+000

2.487515623465613e-009,0.000000e+000

2.682828123465613e-009,0.000000e+000

2.878140623465613e-009,0.000000e+000

8.835171873465619e-009,0.000000e+000

1.371798437346566e-008,0.000000e+000

1.401095312346566e-008,0.000000e+000

1.430392187346566e-008,0.000000e+000

1.459689062346566e-008,0.000000e+000

1.488985937346566e-008,0.000000e+000

1.518282812346566e-008,0.000000e+000

1.547579687346566e-008,0.000000e+000

1.596407812346566e-008,0.000000e+000

1.772189062346564e-008,0.000000e+000

1.941601562499999e-008,0.000000e+000

2.024121093750003e-008,0.000000e+000

2.112011718750002e-008,0.000000e+000

2.453808593749999e-008,0.000000e+000

2.561230468749998e-008,0.000000e+000

2.600292968749997e-008,0.000000e+000

2.610058593749997e-008,7.642515e-006

2.619824218749997e-008,1.267269e-004

2.629589843749997e-008,8.316562e-004

2.639355468749997e-008,3.064173e-003

2.649121093749997e-008,7.483736e-003

2.658886718749997e-008,1.365509e-002

2.668652343749997e-008,2.058810e-002

2.707714843749996e-008,4.924862e-002

2.756542968749996e-008,8.561332e-002

2.824902343749995e-008,1.372288e-001

2.834667968749995e-008,1.435141e-001

2.844433593749995e-008,1.476309e-001

2.854199218749995e-008,1.495160e-001

3.039746093749995e-008,1.576633e-001

3.225292968749999e-008,1.644267e-001

3.313183593750002e-008,1.673177e-001

3.479199218750006e-008,1.722895e-001

3.928417968750017e-008,1.830248e-001

4.397167968750028e-008,1.909806e-001

4.426464843750029e-008,1.911257e-001

4.436230468750029e-008,1.897565e-001

4.445996093750029e-008,1.860950e-001

4.455761718750029e-008,1.803350e-001

4.533886718750031e-008,1.241453e-001

4.621777343750033e-008,5.887726e-002

4.631542968750034e-008,5.208158e-002

4.641308593750034e-008,4.726208e-002

4.651074218750034e-008,4.502290e-002

4.660839843750034e-008,4.426292e-002

4.807324218750038e-008,3.957274e-002

5.002636718750043e-008,3.415742e-002

5.197949218750047e-008,2.945257e-002

5.403027343750052e-008,2.516473e-002

5.578808593750057e-008,2.194572e-002

5.783886718750062e-008,1.864578e-002

5.988964843750067e-008,1.576839e-002

6.203808593750072e-008,1.314273e-002

6.418652343750077e-008,1.085654e-002

6.633496093750082e-008,8.861875e-003

6.848339843750088e-008,7.117040e-003

7.063183593750093e-008,5.587778e-003

7.278027343750098e-008,4.245300e-003

7.492871093750103e-008,3.064672e-003

7.697949218750108e-008,2.069492e-003

7.903027343750113e-008,1.186850e-003

8.010449218750116e-008,7.876238e-004

8.108105468750118e-008,5.053719e-004

8.264355468750122e-008,1.658794e-004

8.430371093750126e-008,-1.164296e-004

8.508496093750128e-008,-2.236002e-004

8.694042968750132e-008,-4.174543e-004

8.889355468750137e-008,-5.362795e-004

9.104199218750142e-008,-5.761037e-004

9.328808593750148e-008,-5.269261e-004

9.563183593750154e-008,-3.882056e-004

9.817089843750160e-008,-1.746017e-004

9.953808593750163e-008,-1.419911e-004

9.990234375000001e-008,-1.407153e-004

1.000000000000000e-007,-1.403508e-004

