time,Vout

0.000000000000000e+000,0.000000e+000

7.999999968033578e-012,0.000000e+000

6.162812494885372e-010,0.000000e+000

7.139374994885372e-010,0.000000e+000

8.115937494885372e-010,0.000000e+000

9.092499994885372e-010,0.000000e+000

1.006906249488537e-009,0.000000e+000

1.104562499488537e-009,0.000000e+000

1.202218749488538e-009,0.000000e+000

1.299874999488538e-009,0.000000e+000

1.397531249488538e-009,0.000000e+000

1.495187499488538e-009,0.000000e+000

1.592843749488538e-009,0.000000e+000

1.690499999488538e-009,0.000000e+000

1.885812499488538e-009,0.000000e+000

2.045215624283953e-009,0.000000e+000

2.194546873465614e-009,0.000000e+000

2.389859373465614e-009,0.000000e+000

2.585171873465613e-009,0.000000e+000

7.175015623465608e-009,0.000000e+000

8.542203123465617e-009,0.000000e+000

8.835171873465619e-009,0.000000e+000

9.128140623465621e-009,0.000000e+000

9.421109373465623e-009,0.000000e+000

9.714078123465625e-009,0.000000e+000

1.000704687346563e-008,0.000000e+000

1.030001562346563e-008,0.000000e+000

1.059298437346563e-008,0.000000e+000

1.127657812346564e-008,0.000000e+000

1.215548437346564e-008,0.000000e+000

1.322970312346565e-008,0.000000e+000

1.449923437346566e-008,0.000000e+000

1.596407812346566e-008,3.996065e-006

1.606173437346565e-008,2.339732e-005

1.615939062346565e-008,9.380579e-005

1.625704687346565e-008,2.843756e-004

1.635470312346565e-008,6.932998e-004

1.645235937346565e-008,1.419765e-003

1.655001562346565e-008,2.525616e-003

1.664767187346565e-008,4.011611e-003

1.674532812346565e-008,5.823090e-003

1.684298437346565e-008,7.877842e-003

1.694064062346565e-008,1.009638e-002

1.713595312346564e-008,1.481178e-002

1.742892187346564e-008,2.226494e-002

1.781954687346564e-008,3.274002e-002

1.824414062500000e-008,4.452346e-002

1.834179687500000e-008,4.700702e-002

1.843945312500000e-008,4.921436e-002

1.853710937500000e-008,5.108946e-002

1.863476562500000e-008,5.263328e-002

1.883007812500000e-008,5.487688e-002

1.941601562499999e-008,5.943255e-002

2.024121093750003e-008,6.511249e-002

2.170605468750001e-008,7.408221e-002

2.346386718750000e-008,8.325944e-002

2.551464843749998e-008,9.218965e-002

2.649121093749997e-008,9.588178e-002

2.756542968749996e-008,9.958346e-002

2.863964843749995e-008,1.029470e-001

3.127636718749997e-008,1.099786e-001

3.420605468750004e-008,1.159514e-001

3.440136718750005e-008,1.154589e-001

3.459667968750005e-008,1.136186e-001

3.488964843750006e-008,1.084289e-001

3.547558593750007e-008,9.487315e-002

3.635449218750009e-008,7.246886e-002

3.654980468750010e-008,6.876548e-002

3.674511718750010e-008,6.636422e-002

3.713574218750011e-008,6.355742e-002

3.850292968750015e-008,5.599419e-002

3.996777343750018e-008,4.903759e-002

4.143261718750022e-008,4.305110e-002

4.299511718750026e-008,3.754853e-002

4.465527343750030e-008,3.252764e-002

4.631542968750034e-008,2.821157e-002

4.797558593750038e-008,2.447373e-002

4.973339843750042e-008,2.105216e-002

5.149121093750046e-008,1.810339e-002

5.334667968750051e-008,1.543298e-002

5.520214843750055e-008,1.314573e-002

5.578808593750057e-008,1.249344e-002

5.764355468750061e-008,1.062547e-002

5.949902343750066e-008,9.027956e-003

6.145214843750070e-008,7.599272e-003

6.340527343750075e-008,6.395583e-003

6.535839843750080e-008,5.387328e-003

6.740917968750085e-008,4.511048e-003

6.965527343750090e-008,3.725152e-003

7.199902343750096e-008,3.051758e-003

7.453808593750102e-008,2.463829e-003

7.737011718750109e-008,1.945406e-003

8.029980468750116e-008,1.528575e-003

8.362011718750124e-008,1.170143e-003

8.508496093750128e-008,1.042548e-003

8.908886718750138e-008,7.666458e-004

9.377636718750149e-008,5.458746e-004

9.963574218750163e-008,3.699237e-004

9.990234375000001e-008,3.638206e-004

1.000000000000000e-007,3.616344e-004

