time,Vn001

0.000000000000000e+000,0.000000e+000

1.599999993606716e-011,0.000000e+000

1.299874999488538e-009,8.697286e-006

1.495187499488538e-009,5.450725e-005

1.690499999488538e-009,1.462385e-004

1.935406251022924e-009,3.244338e-004

2.096890623465614e-009,4.844597e-004

2.389859373465614e-009,8.565707e-004

2.682828123465613e-009,1.333926e-003

2.975796873465613e-009,1.918826e-003

3.366421873465613e-009,2.847073e-003

5.026578123465611e-009,7.055908e-003

7.760953123465611e-009,1.427533e-002

1.342501562346565e-008,2.978508e-002

1.800000000000000e-008,4.252633e-002

1.970898437499999e-008,4.714213e-002

2.053417968750002e-008,4.852663e-002

2.151074218750001e-008,4.912706e-002

2.346386718750000e-008,4.959548e-002

2.551464843749998e-008,4.988945e-002

2.649121093749997e-008,4.997957e-002

2.863964843749995e-008,5.009586e-002

3.098339843749996e-008,5.012722e-002

3.254589843750000e-008,5.010732e-002

3.352246093750003e-008,5.008163e-002

3.557324218750008e-008,5.000030e-002

3.723339843750012e-008,4.991175e-002

3.908886718750016e-008,4.979318e-002

4.123730468750021e-008,4.963454e-002

4.377636718750027e-008,4.942309e-002

4.690136718750035e-008,4.913462e-002

5.100292968750045e-008,4.872002e-002

5.354199218750051e-008,4.844766e-002

5.578808593750057e-008,4.819880e-002

5.891308593750064e-008,4.784241e-002

6.252636718750073e-008,4.741861e-002

6.672558593750083e-008,4.691413e-002

7.170605468750095e-008,4.630389e-002

7.805371093750111e-008,4.551418e-002

8.508496093750128e-008,4.463125e-002

9.660839843750156e-008,4.318102e-002

9.990234375000001e-008,4.276784e-002

1.000000000000000e-007,4.275560e-002

