time,Vn001

0.000000000000000e+000,0.000000e+000

1.599999993606716e-011,0.000000e+000

1.299874999488538e-009,5.166253e-006

1.495187499488538e-009,4.233956e-005

1.690499999488538e-009,1.283463e-004

1.935406251022924e-009,3.042325e-004

2.096890623465614e-009,4.658438e-004

2.292203123465614e-009,7.075036e-004

2.487515623465613e-009,9.980972e-004

2.780484373465613e-009,1.528871e-003

3.073453123465613e-009,2.173973e-003

3.561734373465612e-009,3.439314e-003

6.003140623465610e-009,1.002674e-002

1.098360937346564e-008,2.388360e-002

1.814648437500000e-008,4.416918e-002

1.922070312499999e-008,4.721753e-002

2.006699218750001e-008,4.918743e-002

2.092480468750002e-008,5.022111e-002

2.258496093750000e-008,5.058344e-002

2.434277343749999e-008,5.077501e-002

2.629589843749997e-008,5.088870e-002

2.649121093749997e-008,5.089547e-002

2.863964843749995e-008,5.092591e-002

3.098339843749996e-008,5.088528e-002

3.362011718750003e-008,5.077264e-002

3.391308593750003e-008,5.075663e-002

3.420605468750004e-008,5.074001e-002

3.469433593750005e-008,5.071100e-002

3.518261718750007e-008,5.068043e-002

3.586621093750008e-008,5.063516e-002

3.625683593750009e-008,5.060808e-002

3.811230468750014e-008,5.046849e-002

4.065136718750020e-008,5.025253e-002

4.475292968750030e-008,4.985715e-002

4.924511718750041e-008,4.937671e-002

5.188183593750047e-008,4.907798e-002

5.266308593750049e-008,4.898757e-002

5.422558593750053e-008,4.880447e-002

5.578808593750057e-008,4.861863e-002

5.910839843750065e-008,4.821607e-002

6.330761718750075e-008,4.769526e-002

6.906933593750089e-008,4.696601e-002

7.824902343750111e-008,4.578483e-002

8.508496093750128e-008,4.489914e-002

9.631542968750155e-008,4.344598e-002

9.990234375000001e-008,4.298415e-002

1.000000000000000e-007,4.297159e-002

