freq,Vout,deg
6.77E+04,-8.68E-03,-1.95E-02
6.87E+04,-8.68E-03,-1.98E-02
6.96E+04,-8.68E-03,-2.00E-02
7.06E+04,-8.68E-03,-2.03E-02
7.16E+04,-8.68E-03,-2.06E-02
7.26E+04,-8.68E-03,-2.09E-02
7.36E+04,-8.68E-03,-2.12E-02
7.46E+04,-8.68E-03,-2.15E-02
7.57E+04,-8.68E-03,-2.18E-02
7.67E+04,-8.68E-03,-2.21E-02
7.78E+04,-8.68E-03,-2.24E-02
7.89E+04,-8.68E-03,-2.27E-02
8.00E+04,-8.68E-03,-2.30E-02
8.11E+04,-8.68E-03,-2.33E-02
8.22E+04,-8.68E-03,-2.37E-02
8.34E+04,-8.68E-03,-2.40E-02
8.46E+04,-8.68E-03,-2.43E-02
8.57E+04,-8.68E-03,-2.47E-02
8.69E+04,-8.68E-03,-2.50E-02
8.82E+04,-8.68E-03,-2.54E-02
8.94E+04,-8.68E-03,-2.57E-02
9.06E+04,-8.68E-03,-2.61E-02
9.19E+04,-8.68E-03,-2.64E-02
9.32E+04,-8.68E-03,-2.68E-02
9.45E+04,-8.68E-03,-2.72E-02
9.58E+04,-8.68E-03,-2.76E-02
9.71E+04,-8.68E-03,-2.79E-02
9.85E+04,-8.68E-03,-2.83E-02
9.99E+04,-8.68E-03,-2.87E-02
1.01E+05,-8.68E-03,-2.91E-02
1.03E+05,-8.68E-03,-2.95E-02
1.04E+05,-8.68E-03,-3.00E-02
1.06E+05,-8.68E-03,-3.04E-02
1.07E+05,-8.68E-03,-3.08E-02
1.09E+05,-8.68E-03,-3.12E-02
1.10E+05,-8.68E-03,-3.17E-02
1.12E+05,-8.68E-03,-3.21E-02
1.13E+05,-8.68E-03,-3.26E-02
1.15E+05,-8.68E-03,-3.30E-02
1.16E+05,-8.68E-03,-3.35E-02
1.18E+05,-8.68E-03,-3.39E-02
1.20E+05,-8.68E-03,-3.44E-02
1.21E+05,-8.68E-03,-3.49E-02
1.23E+05,-8.68E-03,-3.54E-02
1.25E+05,-8.68E-03,-3.59E-02
1.26E+05,-8.68E-03,-3.64E-02
1.28E+05,-8.68E-03,-3.69E-02
1.30E+05,-8.68E-03,-3.74E-02
1.32E+05,-8.68E-03,-3.79E-02
1.34E+05,-8.68E-03,-3.84E-02
1.35E+05,-8.68E-03,-3.90E-02
1.37E+05,-8.68E-03,-3.95E-02
1.39E+05,-8.68E-03,-4.01E-02
1.41E+05,-8.68E-03,-4.06E-02
1.43E+05,-8.68E-03,-4.12E-02
1.45E+05,-8.68E-03,-4.18E-02
1.47E+05,-8.68E-03,-4.24E-02
1.49E+05,-8.68E-03,-4.30E-02
1.51E+05,-8.68E-03,-4.36E-02
1.53E+05,-8.68E-03,-4.42E-02
1.56E+05,-8.68E-03,-4.48E-02
1.58E+05,-8.68E-03,-4.54E-02
1.60E+05,-8.68E-03,-4.60E-02
1.62E+05,-8.68E-03,-4.67E-02
1.64E+05,-8.68E-03,-4.73E-02
1.67E+05,-8.68E-03,-4.80E-02
1.69E+05,-8.68E-03,-4.87E-02
1.71E+05,-8.68E-03,-4.93E-02
1.74E+05,-8.68E-03,-5.00E-02
1.76E+05,-8.68E-03,-5.07E-02
1.79E+05,-8.69E-03,-5.14E-02
1.81E+05,-8.69E-03,-5.22E-02
1.84E+05,-8.69E-03,-5.29E-02
1.86E+05,-8.69E-03,-5.36E-02
1.89E+05,-8.69E-03,-5.44E-02
1.92E+05,-8.69E-03,-5.51E-02
1.94E+05,-8.69E-03,-5.59E-02
1.97E+05,-8.69E-03,-5.67E-02
2.00E+05,-8.69E-03,-5.75E-02
2.03E+05,-8.69E-03,-5.83E-02
2.05E+05,-8.69E-03,-5.91E-02
2.08E+05,-8.69E-03,-5.99E-02
2.11E+05,-8.69E-03,-6.07E-02
2.14E+05,-8.69E-03,-6.16E-02
2.17E+05,-8.69E-03,-6.24E-02
2.20E+05,-8.69E-03,-6.33E-02
2.23E+05,-8.69E-03,-6.42E-02
2.26E+05,-8.69E-03,-6.51E-02
2.29E+05,-8.69E-03,-6.60E-02
2.33E+05,-8.69E-03,-6.69E-02
2.36E+05,-8.69E-03,-6.79E-02
2.39E+05,-8.69E-03,-6.88E-02
2.43E+05,-8.69E-03,-6.98E-02
2.46E+05,-8.69E-03,-7.07E-02
2.49E+05,-8.69E-03,-7.17E-02
2.53E+05,-8.69E-03,-7.27E-02
2.56E+05,-8.69E-03,-7.38E-02
2.60E+05,-8.69E-03,-7.48E-02
2.64E+05,-8.69E-03,-7.58E-02
2.67E+05,-8.69E-03,-7.69E-02
2.71E+05,-8.69E-03,-7.80E-02
2.75E+05,-8.69E-03,-7.90E-02
2.79E+05,-8.69E-03,-8.01E-02
2.82E+05,-8.69E-03,-8.13E-02
2.86E+05,-8.69E-03,-8.24E-02
2.90E+05,-8.69E-03,-8.36E-02
2.94E+05,-8.69E-03,-8.47E-02
2.99E+05,-8.69E-03,-8.59E-02
3.03E+05,-8.69E-03,-8.71E-02
3.07E+05,-8.69E-03,-8.83E-02
3.11E+05,-8.69E-03,-8.96E-02
3.16E+05,-8.69E-03,-9.08E-02
3.20E+05,-8.69E-03,-9.21E-02
3.24E+05,-8.69E-03,-9.34E-02
3.29E+05,-8.69E-03,-9.47E-02
3.34E+05,-8.69E-03,-9.60E-02
3.38E+05,-8.69E-03,-9.73E-02
3.43E+05,-8.69E-03,-9.87E-02
3.48E+05,-8.69E-03,-1.00E-01
3.53E+05,-8.70E-03,-1.01E-01
3.58E+05,-8.70E-03,-1.03E-01
3.63E+05,-8.70E-03,-1.04E-01
3.68E+05,-8.70E-03,-1.06E-01
3.73E+05,-8.70E-03,-1.07E-01
3.78E+05,-8.70E-03,-1.09E-01
3.83E+05,-8.70E-03,-1.10E-01
3.89E+05,-8.70E-03,-1.12E-01
3.94E+05,-8.70E-03,-1.13E-01
3.99E+05,-8.70E-03,-1.15E-01
4.05E+05,-8.70E-03,-1.17E-01
4.11E+05,-8.70E-03,-1.18E-01
4.16E+05,-8.70E-03,-1.20E-01
4.22E+05,-8.70E-03,-1.21E-01
4.28E+05,-8.70E-03,-1.23E-01
4.34E+05,-8.70E-03,-1.25E-01
4.40E+05,-8.70E-03,-1.27E-01
4.46E+05,-8.70E-03,-1.28E-01
4.53E+05,-8.70E-03,-1.30E-01
4.59E+05,-8.70E-03,-1.32E-01
4.65E+05,-8.71E-03,-1.34E-01
4.72E+05,-8.71E-03,-1.36E-01
4.78E+05,-8.71E-03,-1.38E-01
4.85E+05,-8.71E-03,-1.40E-01
4.92E+05,-8.71E-03,-1.41E-01
4.99E+05,-8.71E-03,-1.43E-01
5.06E+05,-8.71E-03,-1.45E-01
5.13E+05,-8.71E-03,-1.48E-01
5.20E+05,-8.71E-03,-1.50E-01
5.27E+05,-8.71E-03,-1.52E-01
5.34E+05,-8.71E-03,-1.54E-01
5.42E+05,-8.71E-03,-1.56E-01
5.49E+05,-8.71E-03,-1.58E-01
5.57E+05,-8.72E-03,-1.60E-01
5.65E+05,-8.72E-03,-1.63E-01
5.73E+05,-8.72E-03,-1.65E-01
5.81E+05,-8.72E-03,-1.67E-01
5.89E+05,-8.72E-03,-1.69E-01
5.97E+05,-8.72E-03,-1.72E-01
6.05E+05,-8.72E-03,-1.74E-01
6.14E+05,-8.72E-03,-1.77E-01
6.22E+05,-8.72E-03,-1.79E-01
6.31E+05,-8.73E-03,-1.82E-01
6.40E+05,-8.73E-03,-1.84E-01
6.49E+05,-8.73E-03,-1.87E-01
6.58E+05,-8.73E-03,-1.89E-01
6.67E+05,-8.73E-03,-1.92E-01
6.76E+05,-8.73E-03,-1.95E-01
6.86E+05,-8.73E-03,-1.97E-01
6.96E+05,-8.73E-03,-2.00E-01
7.05E+05,-8.74E-03,-2.03E-01
7.15E+05,-8.74E-03,-2.06E-01
7.25E+05,-8.74E-03,-2.09E-01
7.35E+05,-8.74E-03,-2.12E-01
7.45E+05,-8.74E-03,-2.14E-01
7.56E+05,-8.74E-03,-2.17E-01
7.66E+05,-8.75E-03,-2.20E-01
7.77E+05,-8.75E-03,-2.24E-01
7.88E+05,-8.75E-03,-2.27E-01
7.99E+05,-8.75E-03,-2.30E-01
8.10E+05,-8.75E-03,-2.33E-01
8.21E+05,-8.76E-03,-2.36E-01
8.33E+05,-8.76E-03,-2.40E-01
8.44E+05,-8.76E-03,-2.43E-01
8.56E+05,-8.76E-03,-2.46E-01
8.68E+05,-8.76E-03,-2.50E-01
8.80E+05,-8.77E-03,-2.53E-01
8.93E+05,-8.77E-03,-2.57E-01
9.05E+05,-8.77E-03,-2.60E-01
9.18E+05,-8.77E-03,-2.64E-01
9.31E+05,-8.78E-03,-2.68E-01
9.44E+05,-8.78E-03,-2.71E-01
9.57E+05,-8.78E-03,-2.75E-01
9.70E+05,-8.78E-03,-2.79E-01
9.84E+05,-8.79E-03,-2.83E-01
9.97E+05,-8.79E-03,-2.87E-01
1.01E+06,-8.79E-03,-2.91E-01
1.03E+06,-8.80E-03,-2.95E-01
1.04E+06,-8.80E-03,-2.99E-01
1.05E+06,-8.80E-03,-3.03E-01
1.07E+06,-8.81E-03,-3.08E-01
1.08E+06,-8.81E-03,-3.12E-01
1.10E+06,-8.81E-03,-3.16E-01
1.11E+06,-8.82E-03,-3.21E-01
1.13E+06,-8.82E-03,-3.25E-01
1.15E+06,-8.83E-03,-3.30E-01
1.16E+06,-8.83E-03,-3.34E-01
1.18E+06,-8.83E-03,-3.39E-01
1.19E+06,-8.84E-03,-3.44E-01
1.21E+06,-8.84E-03,-3.48E-01
1.23E+06,-8.85E-03,-3.53E-01
1.24E+06,-8.85E-03,-3.58E-01
1.26E+06,-8.86E-03,-3.63E-01
1.28E+06,-8.86E-03,-3.68E-01
1.30E+06,-8.87E-03,-3.73E-01
1.32E+06,-8.87E-03,-3.79E-01
1.33E+06,-8.88E-03,-3.84E-01
1.35E+06,-8.88E-03,-3.89E-01
1.37E+06,-8.89E-03,-3.95E-01
1.39E+06,-8.89E-03,-4.00E-01
1.41E+06,-8.90E-03,-4.06E-01
1.43E+06,-8.91E-03,-4.11E-01
1.45E+06,-8.91E-03,-4.17E-01
1.47E+06,-8.92E-03,-4.23E-01
1.49E+06,-8.92E-03,-4.29E-01
1.51E+06,-8.93E-03,-4.35E-01
1.53E+06,-8.94E-03,-4.41E-01
1.55E+06,-8.95E-03,-4.47E-01
1.58E+06,-8.95E-03,-4.53E-01
1.60E+06,-8.96E-03,-4.60E-01
1.62E+06,-8.97E-03,-4.66E-01
1.64E+06,-8.98E-03,-4.73E-01
1.67E+06,-8.99E-03,-4.79E-01
1.69E+06,-8.99E-03,-4.86E-01
1.71E+06,-9.00E-03,-4.93E-01
1.74E+06,-9.01E-03,-5.00E-01
1.76E+06,-9.02E-03,-5.07E-01
1.79E+06,-9.03E-03,-5.14E-01
1.81E+06,-9.04E-03,-5.21E-01
1.84E+06,-9.05E-03,-5.28E-01
1.86E+06,-9.06E-03,-5.35E-01
1.89E+06,-9.07E-03,-5.43E-01
1.91E+06,-9.08E-03,-5.50E-01
1.94E+06,-9.09E-03,-5.58E-01
1.97E+06,-9.11E-03,-5.66E-01
1.99E+06,-9.12E-03,-5.74E-01
2.02E+06,-9.13E-03,-5.82E-01
2.05E+06,-9.14E-03,-5.90E-01
2.08E+06,-9.16E-03,-5.98E-01
2.11E+06,-9.17E-03,-6.07E-01
2.14E+06,-9.18E-03,-6.15E-01
2.17E+06,-9.20E-03,-6.24E-01
2.20E+06,-9.21E-03,-6.32E-01
2.23E+06,-9.23E-03,-6.41E-01
2.26E+06,-9.24E-03,-6.50E-01
2.29E+06,-9.26E-03,-6.59E-01
2.32E+06,-9.27E-03,-6.68E-01
2.36E+06,-9.29E-03,-6.78E-01
2.39E+06,-9.31E-03,-6.87E-01
2.42E+06,-9.32E-03,-6.97E-01
2.46E+06,-9.34E-03,-7.07E-01
2.49E+06,-9.36E-03,-7.16E-01
2.52E+06,-9.38E-03,-7.26E-01
2.56E+06,-9.40E-03,-7.37E-01
2.60E+06,-9.42E-03,-7.47E-01
2.63E+06,-9.44E-03,-7.57E-01
2.67E+06,-9.46E-03,-7.68E-01
2.71E+06,-9.48E-03,-7.78E-01
2.74E+06,-9.51E-03,-7.89E-01
2.78E+06,-9.53E-03,-8.00E-01
2.82E+06,-9.55E-03,-8.12E-01
2.86E+06,-9.58E-03,-8.23E-01
2.90E+06,-9.60E-03,-8.34E-01
2.94E+06,-9.63E-03,-8.46E-01
2.98E+06,-9.66E-03,-8.58E-01
3.02E+06,-9.68E-03,-8.70E-01
3.07E+06,-9.71E-03,-8.82E-01
3.11E+06,-9.74E-03,-8.94E-01
3.15E+06,-9.77E-03,-9.07E-01
3.20E+06,-9.80E-03,-9.19E-01
3.24E+06,-9.83E-03,-9.32E-01
3.29E+06,-9.86E-03,-9.45E-01
3.33E+06,-9.90E-03,-9.58E-01
3.38E+06,-9.93E-03,-9.72E-01
3.43E+06,-9.97E-03,-9.85E-01
3.47E+06,-1.00E-02,-9.99E-01
3.52E+06,-1.00E-02,-1.01E+00
3.57E+06,-1.01E-02,-1.03E+00
3.62E+06,-1.01E-02,-1.04E+00
3.67E+06,-1.02E-02,-1.06E+00
3.72E+06,-1.02E-02,-1.07E+00
3.77E+06,-1.02E-02,-1.09E+00
3.83E+06,-1.03E-02,-1.10E+00
3.88E+06,-1.03E-02,-1.12E+00
3.93E+06,-1.04E-02,-1.13E+00
3.99E+06,-1.04E-02,-1.15E+00
4.05E+06,-1.05E-02,-1.16E+00
4.10E+06,-1.05E-02,-1.18E+00
4.16E+06,-1.06E-02,-1.20E+00
4.22E+06,-1.06E-02,-1.21E+00
4.28E+06,-1.07E-02,-1.23E+00
4.34E+06,-1.07E-02,-1.25E+00
4.40E+06,-1.08E-02,-1.26E+00
4.46E+06,-1.09E-02,-1.28E+00
4.52E+06,-1.09E-02,-1.30E+00
4.58E+06,-1.10E-02,-1.32E+00
4.65E+06,-1.10E-02,-1.34E+00
4.71E+06,-1.11E-02,-1.36E+00
4.78E+06,-1.12E-02,-1.37E+00
4.84E+06,-1.13E-02,-1.39E+00
4.91E+06,-1.13E-02,-1.41E+00
4.98E+06,-1.14E-02,-1.43E+00
5.05E+06,-1.15E-02,-1.45E+00
5.12E+06,-1.16E-02,-1.47E+00
5.19E+06,-1.16E-02,-1.49E+00
5.26E+06,-1.17E-02,-1.51E+00
5.34E+06,-1.18E-02,-1.54E+00
5.41E+06,-1.19E-02,-1.56E+00
5.49E+06,-1.20E-02,-1.58E+00
5.56E+06,-1.21E-02,-1.60E+00
5.64E+06,-1.22E-02,-1.62E+00
5.72E+06,-1.23E-02,-1.65E+00
5.80E+06,-1.24E-02,-1.67E+00
5.88E+06,-1.25E-02,-1.69E+00
5.96E+06,-1.26E-02,-1.72E+00
6.05E+06,-1.27E-02,-1.74E+00
6.13E+06,-1.28E-02,-1.76E+00
6.22E+06,-1.29E-02,-1.79E+00
6.30E+06,-1.30E-02,-1.81E+00
6.39E+06,-1.32E-02,-1.84E+00
6.48E+06,-1.33E-02,-1.86E+00
6.57E+06,-1.34E-02,-1.89E+00
6.66E+06,-1.35E-02,-1.92E+00
6.76E+06,-1.37E-02,-1.94E+00
6.85E+06,-1.38E-02,-1.97E+00
6.95E+06,-1.40E-02,-2.00E+00
7.04E+06,-1.41E-02,-2.03E+00
7.14E+06,-1.43E-02,-2.05E+00
7.24E+06,-1.44E-02,-2.08E+00
7.34E+06,-1.46E-02,-2.11E+00
7.44E+06,-1.47E-02,-2.14E+00
7.55E+06,-1.49E-02,-2.17E+00
7.65E+06,-1.51E-02,-2.20E+00
7.76E+06,-1.53E-02,-2.23E+00
7.87E+06,-1.55E-02,-2.26E+00
7.98E+06,-1.56E-02,-2.29E+00
8.09E+06,-1.58E-02,-2.33E+00
8.20E+06,-1.60E-02,-2.36E+00
8.32E+06,-1.63E-02,-2.39E+00
8.43E+06,-1.65E-02,-2.42E+00
8.55E+06,-1.67E-02,-2.46E+00
8.67E+06,-1.69E-02,-2.49E+00
8.79E+06,-1.71E-02,-2.53E+00
8.91E+06,-1.74E-02,-2.56E+00
9.04E+06,-1.76E-02,-2.60E+00
9.17E+06,-1.79E-02,-2.64E+00
9.29E+06,-1.81E-02,-2.67E+00
9.42E+06,-1.84E-02,-2.71E+00
9.55E+06,-1.87E-02,-2.75E+00
9.69E+06,-1.89E-02,-2.79E+00
9.82E+06,-1.92E-02,-2.82E+00
9.96E+06,-1.95E-02,-2.86E+00
1.01E+07,-1.98E-02,-2.90E+00
1.02E+07,-2.01E-02,-2.94E+00
1.04E+07,-2.05E-02,-2.98E+00
1.05E+07,-2.08E-02,-3.03E+00
1.07E+07,-2.11E-02,-3.07E+00
1.08E+07,-2.15E-02,-3.11E+00
1.10E+07,-2.19E-02,-3.15E+00
1.11E+07,-2.22E-02,-3.20E+00
1.13E+07,-2.26E-02,-3.24E+00
1.14E+07,-2.30E-02,-3.29E+00
1.16E+07,-2.34E-02,-3.33E+00
1.18E+07,-2.38E-02,-3.38E+00
1.19E+07,-2.42E-02,-3.43E+00
1.21E+07,-2.47E-02,-3.48E+00
1.23E+07,-2.51E-02,-3.52E+00
1.24E+07,-2.56E-02,-3.57E+00
1.26E+07,-2.61E-02,-3.62E+00
1.28E+07,-2.65E-02,-3.67E+00
1.30E+07,-2.70E-02,-3.72E+00
1.31E+07,-2.76E-02,-3.78E+00
1.33E+07,-2.81E-02,-3.83E+00
1.35E+07,-2.86E-02,-3.88E+00
1.37E+07,-2.92E-02,-3.94E+00
1.39E+07,-2.98E-02,-3.99E+00
1.41E+07,-3.04E-02,-4.05E+00
1.43E+07,-3.10E-02,-4.10E+00
1.45E+07,-3.16E-02,-4.16E+00
1.47E+07,-3.22E-02,-4.22E+00
1.49E+07,-3.29E-02,-4.28E+00
1.51E+07,-3.36E-02,-4.34E+00
1.53E+07,-3.43E-02,-4.40E+00
1.55E+07,-3.50E-02,-4.46E+00
1.57E+07,-3.57E-02,-4.52E+00
1.60E+07,-3.65E-02,-4.58E+00
1.62E+07,-3.73E-02,-4.64E+00
1.64E+07,-3.81E-02,-4.71E+00
1.66E+07,-3.89E-02,-4.77E+00
1.69E+07,-3.97E-02,-4.84E+00
1.71E+07,-4.06E-02,-4.91E+00
1.73E+07,-4.15E-02,-4.98E+00
1.76E+07,-4.24E-02,-5.05E+00
1.78E+07,-4.34E-02,-5.12E+00
1.81E+07,-4.43E-02,-5.19E+00
1.83E+07,-4.53E-02,-5.26E+00
1.86E+07,-4.63E-02,-5.33E+00
1.88E+07,-4.74E-02,-5.41E+00
1.91E+07,-4.85E-02,-5.48E+00
1.94E+07,-4.96E-02,-5.56E+00
1.96E+07,-5.07E-02,-5.63E+00
1.99E+07,-5.19E-02,-5.71E+00
2.02E+07,-5.31E-02,-5.79E+00
2.05E+07,-5.44E-02,-5.87E+00
2.08E+07,-5.57E-02,-5.95E+00
2.11E+07,-5.70E-02,-6.04E+00
2.13E+07,-5.83E-02,-6.12E+00
2.16E+07,-5.97E-02,-6.20E+00
2.19E+07,-6.11E-02,-6.29E+00
2.23E+07,-6.26E-02,-6.38E+00
2.26E+07,-6.41E-02,-6.47E+00
2.29E+07,-6.56E-02,-6.55E+00
2.32E+07,-6.72E-02,-6.65E+00
