time,Vn001

0.000000000000000e+000,0.000000e+000

7.999999968033578e-012,0.000000e+000

1.299874999488538e-009,3.825500e-006

1.397531249488538e-009,2.507035e-005

1.495187499488538e-009,8.155731e-005

1.592843749488538e-009,1.834409e-004

1.690499999488538e-009,3.327979e-004

1.788156249488538e-009,5.295822e-004

1.902343750000000e-009,8.086125e-004

2.045215624283953e-009,1.263912e-003

2.194546873465614e-009,1.856923e-003

2.292203123465614e-009,2.297765e-003

2.389859373465614e-009,2.785749e-003

2.487515623465613e-009,3.320831e-003

2.585171873465613e-009,3.902963e-003

2.682828123465613e-009,4.532100e-003

2.780484373465613e-009,5.208196e-003

2.975796873465613e-009,6.701082e-003

3.171109373465613e-009,8.381254e-003

3.464078123465612e-009,1.119304e-002

5.710171873465610e-009,3.311435e-002

8.932828123465620e-009,6.371918e-002

1.322970312346565e-008,1.030216e-001

1.853710937500000e-008,1.492933e-001

1.873242187500000e-008,1.509497e-001

1.883007812500000e-008,1.517767e-001

1.892773437500000e-008,1.526029e-001

1.902539062499999e-008,1.534282e-001

1.912304687499999e-008,1.542528e-001

1.922070312499999e-008,1.550766e-001

1.931835937499999e-008,1.558946e-001

1.941601562499999e-008,1.566910e-001

1.951367187499999e-008,1.574480e-001

1.961132812499999e-008,1.581577e-001

1.970898437499999e-008,1.588191e-001

1.980664062499999e-008,1.594323e-001

2.000000000000000e-008,1.605164e-001

2.014355468750003e-008,1.611807e-001

2.033886718750003e-008,1.619285e-001

2.053417968750002e-008,1.624873e-001

2.082714843750002e-008,1.629669e-001

2.209667968750001e-008,1.615630e-001

2.492871093749998e-008,1.570528e-001

2.649121093749997e-008,1.546185e-001

3.088574218749996e-008,1.479725e-001

3.440136718750005e-008,1.428621e-001

3.459667968750005e-008,1.425834e-001

3.469433593750005e-008,1.424442e-001

3.479199218750006e-008,1.423052e-001

3.488964843750006e-008,1.421664e-001

3.498730468750006e-008,1.420276e-001

3.508496093750006e-008,1.418890e-001

3.518261718750007e-008,1.417506e-001

3.528027343750007e-008,1.416123e-001

3.537792968750007e-008,1.414741e-001

3.547558593750007e-008,1.413360e-001

3.557324218750008e-008,1.411981e-001

3.567089843750008e-008,1.410603e-001

3.576855468750008e-008,1.409227e-001

3.586621093750008e-008,1.407851e-001

3.596386718750008e-008,1.406478e-001

3.606152343750009e-008,1.405105e-001

3.615917968750009e-008,1.403734e-001

3.625683593750009e-008,1.402364e-001

3.635449218750009e-008,1.400996e-001

3.645214843750010e-008,1.399629e-001

3.664746093750010e-008,1.396898e-001

3.713574218750011e-008,1.390096e-001

3.762402343750013e-008,1.383327e-001

3.781933593750013e-008,1.380628e-001

3.791699218750013e-008,1.379281e-001

3.801464843750013e-008,1.377935e-001

3.811230468750014e-008,1.376590e-001

3.820996093750014e-008,1.375247e-001

3.840527343750014e-008,1.372564e-001

4.065136718750020e-008,1.342087e-001

4.436230468750029e-008,1.293209e-001

4.904980468750040e-008,1.234005e-001

5.295605468750050e-008,1.186744e-001

5.363964843750051e-008,1.178661e-001

5.383496093750052e-008,1.176362e-001

5.393261718750052e-008,1.175214e-001

5.403027343750052e-008,1.174067e-001

5.412792968750053e-008,1.172922e-001

5.422558593750053e-008,1.171777e-001

5.442089843750053e-008,1.169491e-001

5.549511718750056e-008,1.156999e-001

5.559277343750056e-008,1.155870e-001

5.569042968750056e-008,1.154742e-001

5.578808593750057e-008,1.153616e-001

5.588574218750057e-008,1.152490e-001

5.598339843750057e-008,1.151365e-001

5.608105468750057e-008,1.150242e-001

5.617871093750058e-008,1.149119e-001

5.627636718750058e-008,1.147998e-001

5.637402343750058e-008,1.146878e-001

5.647167968750058e-008,1.145759e-001

5.656933593750059e-008,1.144641e-001

5.666699218750059e-008,1.143524e-001

5.686230468750059e-008,1.141293e-001

6.721386718750084e-008,1.029092e-001

8.108105468750118e-008,8.948155e-002

8.508496093750128e-008,8.591530e-002

9.748730468750158e-008,7.581679e-002

9.990234375000001e-008,7.400781e-002

1.000000000000000e-007,7.393556e-002

