time,Vn001

0.000000000000000e+000,0.000000e+000

7.999999968033578e-012,0.000000e+000

1.800581748117752e-010,1.520496e-005

2.961163498792818e-010,8.589306e-005

4.121745249467883e-010,2.237403e-004

5.282327000142949e-010,4.286688e-004

6.442908750818015e-010,7.006008e-004

7.603490501493080e-010,1.039459e-003

8.764072252168146e-010,1.445165e-003

9.924654002843212e-010,1.917642e-003

1.108523575351828e-009,2.456812e-003

1.282610837953088e-009,3.390448e-003

1.456698100554348e-009,4.473710e-003

1.630785363155607e-009,5.706337e-003

1.746843538223114e-009,6.610941e-003

1.862901713290620e-009,7.581737e-003

1.979635010432528e-009,8.621035e-003

2.063131467659165e-009,9.410063e-003

2.179189642726671e-009,1.054798e-002

2.295247817794177e-009,1.169449e-002

2.411305992861683e-009,1.283969e-002

2.527364167929189e-009,1.398355e-002

2.643422342996696e-009,1.512609e-002

2.817509605597955e-009,1.683741e-002

2.991596868199214e-009,1.854575e-002

3.049625955732967e-009,1.911454e-002

3.107655043266720e-009,1.968300e-002

3.165684130800473e-009,2.025113e-002

3.223713218334226e-009,2.081893e-002

3.339771393401732e-009,2.195355e-002

3.455829568469239e-009,2.308684e-002

3.571887743536745e-009,2.421883e-002

3.687945918604251e-009,2.534950e-002

3.804004093671758e-009,2.647886e-002

3.920062268739264e-009,2.760691e-002

4.036120443806771e-009,2.873365e-002

4.210207706408032e-009,3.042132e-002

4.384294969009292e-009,3.210605e-002

4.558382231610553e-009,3.378785e-002

4.732469494211813e-009,3.546673e-002

4.906556756813074e-009,3.714269e-002

5.080644019414334e-009,3.881574e-002

5.138673106948088e-009,3.937278e-002

5.196702194481841e-009,3.992949e-002

7.517865695831981e-009,6.193587e-002

1.088355277278968e-008,9.295250e-002

1.529376342535495e-008,1.320463e-001

1.593208338822624e-008,1.375631e-001

1.849324724403691e-008,1.589866e-001

1.924762538197570e-008,1.624666e-001

2.003921789733348e-008,1.630485e-001

2.083841648936769e-008,1.617691e-001

2.107053283950270e-008,1.613942e-001

2.112856192703645e-008,1.613007e-001

2.118659101457021e-008,1.612071e-001

2.194096915250900e-008,1.599961e-001

2.275337637798155e-008,1.587021e-001

2.304352181565032e-008,1.582424e-001

2.310155090318407e-008,1.581507e-001

2.315957999071783e-008,1.580590e-001

2.321760907825158e-008,1.579673e-001

2.501651079179794e-008,1.551517e-001

2.687344159287805e-008,1.522971e-001

2.739570338068183e-008,1.515038e-001

2.809205243108687e-008,1.504524e-001

2.884643056902567e-008,1.493217e-001

2.948475053189696e-008,1.483716e-001

3.302452487145592e-008,1.432114e-001

4.735770949229303e-008,1.240877e-001

5.043325113158197e-008,1.203294e-001

6.476643575241850e-008,1.042613e-001

6.784197739170708e-008,1.011035e-001

8.223319110007631e-008,8.755184e-002

8.525070365183114e-008,8.494939e-002

9.969994644773411e-008,7.352033e-002

9.996178714166058e-008,7.332806e-002

1.000000000000000e-007,7.330005e-002

